#INSERT INTO trisano.core_relationships (from_table, from_column, to_table, to_column, relation_type, join_order) VALUES
'dw_morbidity_events_view'         , 'disease_id'            , 'avr_groups_diseases_view'                  , 'disease_id'             , 'N:0', 'Aa'
'dw_morbidity_events_view'         , 'dw_patients_id'        , 'dw_morbidity_patients_races_view'          , 'person_id'              , '0:N', 'Ab'
'dw_morbidity_events_view'         , 'id'                    , 'dw_morbidity_clinicians_view'              , 'dw_morbidity_events_id' , '0:N', 'Ac'
'dw_morbidity_events_view'         , 'id'                    , 'dw_morbidity_diagnostic_facilities_view'   , 'dw_morbidity_events_id' , '0:N', 'Ad'
'dw_morbidity_events_view'         , 'id'                    , 'dw_morbidity_hospitals_view'               , 'dw_morbidity_events_id' , '0:N', 'Ae'
'dw_morbidity_events_view'         , 'id'                    , 'dw_morbidity_lab_results_view'             , 'dw_morbidity_events_id' , '0:N', 'Af'
'dw_morbidity_events_view'         , 'id'                    , 'dw_morbidity_secondary_jurisdictions_view' , 'dw_morbidity_events_id' , '0:N', 'Ag'
'dw_morbidity_events_view'         , 'id'                    , 'dw_morbidity_treatments_events_view'       , 'dw_morbidity_events_id' , '0:N', 'Ah'
'dw_morbidity_events_view'         , 'patient_entity_id'     , 'dw_morbidity_email_addresses_view'         , 'entity_id'              , '0:N', 'Ai'
'dw_morbidity_events_view'         , 'patient_entity_id'     , 'dw_morbidity_telephones_view'              , 'entity_id'              , '0:N', 'Aj'
'dw_morbidity_events_view'         , 'id'                    , 'dw_contact_events_view'                    , 'parent_id'              , '0:N', 'Ak'
'dw_morbidity_events_view'         , 'id'                    , 'dw_encounter_events_view'                  , 'dw_morbidity_events_id' , '0:N', 'Al'
'dw_morbidity_events_view'         , 'id'                    , 'dw_place_events_view'                      , 'dw_morbidity_events_id' , '0:N', 'Am'
'dw_contact_events_view'           , 'dw_patients_id'        , 'dw_contact_patients_races_view'            , 'person_id'              , '0:N', 'Ba'
'dw_contact_events_view'           , 'id'                    , 'dw_contact_clinicians_view'                , 'dw_contact_events_id'   , '0:N', 'Bb'
'dw_contact_events_view'           , 'id'                    , 'dw_contact_diagnostic_facilities_view'     , 'dw_contact_events_id'   , '0:N', 'Bc'
'dw_contact_events_view'           , 'id'                    , 'dw_contact_hospitals_view'                 , 'dw_contact_events_id'   , '0:N', 'Bd'
'dw_contact_events_view'           , 'id'                    , 'dw_contact_lab_results_view'               , 'dw_contact_events_id'   , '0:N', 'Be'
'dw_contact_events_view'           , 'id'                    , 'dw_contact_secondary_jurisdictions_view'   , 'dw_contact_events_id'   , '0:N', 'Bf'
'dw_contact_events_view'           , 'id'                    , 'dw_contact_treatments_events_view'         , 'dw_contact_events_id'   , '0:N', 'Bg'
'dw_contact_events_view'           , 'patient_entity_id'     , 'dw_contact_email_addresses_view'           , 'entity_id'              , '0:N', 'Bh'
'dw_contact_events_view'           , 'patient_entity_id'     , 'dw_contact_telephones_view'                , 'entity_id'              , '0:N', 'Bi'
'dw_encounter_events_view'         , 'dw_patients_id'        , 'dw_encounter_patients_races_view'          , 'person_id'              , '0:N', 'Ca'
'dw_encounter_events_view'         , 'id'                    , 'dw_encounters_lab_results_view'            , 'dw_encounter_events_id' , '0:N', 'Cb'
'dw_encounter_events_view'         , 'id'                    , 'dw_encounters_treatments_events_view'      , 'dw_encounter_events_id' , '0:N', 'Cc'
'dw_encounter_events_view'         , 'patient_entity_id'     , 'dw_encounter_email_addresses_view'         , 'entity_id'              , '0:N', 'Cd'
'dw_encounter_events_view'         , 'patient_entity_id'     , 'dw_encounter_telephones_view'              , 'entity_id'              , '0:N', 'Ce'
'avr_groups_view'                  , 'id'                    , 'avr_groups_diseases_view'                  , 'avr_group_id'           , '0:N', default
